timestamp,model,prompt_index,prompt_text,ttft_s,tokens_s,load_s,prompt_eval_s,eval_s,prompt_eval_count,eval_count,response_chars,error,options
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q4_0,1,banter prompt: Player failed a mission but needs encouragement.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q4_0,2,Give a battle quote for a co-op shooter win.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q4_0,3,Prompt for rare loot find celebration banter.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q4_0,4,Craft a witty remark after a close racing finish.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q4_0,5,Motivate a teammate before a final boss fight.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q5_K_M,1,banter prompt: Player failed a mission but needs encouragement.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q5_K_M,2,Give a battle quote for a co-op shooter win.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q5_K_M,3,Prompt for rare loot find celebration banter.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q5_K_M,4,Craft a witty remark after a close racing finish.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q5_K_M,5,Motivate a teammate before a final boss fight.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q8_0,1,banter prompt: Player failed a mission but needs encouragement.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q8_0,2,Give a battle quote for a co-op shooter win.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q8_0,3,Prompt for rare loot find celebration banter.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q8_0,4,Craft a witty remark after a close racing finish.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
2025-10-02T19:14:46.102500+00:00,llama3.1:8b-instruct-q8_0,5,Motivate a teammate before a final boss fight.,0.000000,0.00,0.000000,0.000000,0.000000,0,0,0,"Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download","{""temperature"":0.3,""top_p"":0.9}"
